Code,Endpoint_Type,HTTP_Method,Endpoint_Path,Endpoint_Description,Virtual_URL,Physical_Location,Discovery_Method,Configuration_Source,File_Path,Line_Number,Method_Name,Parameters,Authentication,Access_Level,Business_Domain,Framework_Version,Route_Pattern,Endpoint_Status,Dependencies,Notes
repo-endpoint-00001,REST API,GET,/api/catalog,Retrieves product catalog with optional category filtering,/api/catalog,CatalogController.GetProducts,File_Scan,,src/Controllers/CatalogController.cs,25,GetProducts,category:string,JWT,Public,Catalog,.NET 6,,Active,,Standard REST endpoint for product catalog
repo-endpoint-00002,REST API,POST,/api/catalog,Creates a new product in the catalog,/api/catalog,CatalogController.CreateProduct,File_Scan,,src/Controllers/CatalogController.cs,45,CreateProduct,product:Product,JWT,Internal,Catalog,.NET 6,,Active,,Product creation endpoint with validation
repo-endpoint-00003,WebForm,POST,/Products.aspx,Displays product listing page with server-side processing,/Products.aspx,Products.aspx.Page_Load,File_Scan,,Products.aspx.cs,15,Page_Load,None,Forms,Internal,Catalog,.NET Framework 4.8,,Active,,Legacy WebForm page for product display
repo-endpoint-00004,WebForm,POST,/Products.aspx,Handles product search functionality via button click,/Products.aspx,Products.aspx.btnSearch_Click,File_Scan,,Products.aspx.cs,35,btnSearch_Click,searchTerm:string,Forms,Public,Catalog,.NET Framework 4.8,,Active,,Search button click handler
repo-endpoint-00005,Virtual Endpoint,GET,/legacy/products,Legacy URL that redirects to modern API endpoint,/api/products,ProductController.GetProducts,Config_Analysis,web.config,web.config,45,GetProducts,id:int,JWT,Public,Catalog,.NET 6,/legacy/products -> /api/products,Active,IIS_Rewrite,URL rewriting rule for legacy compatibility
repo-endpoint-00006,WCF Service,SOAP,/ProductService.svc,Retrieves product information via SOAP interface,/ProductService.svc,IProductService.GetProduct,File_Scan,,Services/ProductService.svc.cs,30,GetProduct,productId:int,WS-Security,Internal,Catalog,.NET Framework 4.8,,Active,WCF_Runtime,SOAP web service for product retrieval
repo-endpoint-00007,WCF Service,SOAP,/ProductService.svc,Updates product information via SOAP interface,/ProductService.svc,IProductService.UpdateProduct,File_Scan,,Services/ProductService.svc.cs,55,UpdateProduct,product:Product,WS-Security,Internal,Catalog,.NET Framework 4.8,,Active,WCF_Runtime,SOAP web service for product updates
repo-endpoint-00008,ASMX Service,SOAP,/DataService.asmx,Legacy web service for retrieving customer data,/DataService.asmx,DataService.GetCustomerData,File_Scan,,Services/DataService.asmx.cs,20,GetCustomerData,customerId:int,None,Internal,Customer,.NET Framework 4.8,,Active,,Legacy ASMX web service for customer data
repo-endpoint-00009,Handler,POST,/FileUpload.ashx,Generic handler for processing file upload requests,/FileUpload.ashx,FileUploadHandler.ProcessRequest,File_Scan,,Handlers/FileUploadHandler.ashx.cs,25,ProcessRequest,context:HttpContext,None,Internal,File Management,.NET Framework 4.8,,Active,,Generic handler for file uploads
repo-endpoint-00010,SignalR Hub,WebSocket,/chatHub,Real-time messaging hub for chat functionality,/chatHub,ChatHub.SendMessage,File_Scan,,Hubs/ChatHub.cs,30,SendMessage,user:string;message:string,JWT,Public,Communication,.NET 6,,Active,SignalR,Real-time chat functionality
repo-endpoint-00011,Minimal API,GET,/api/health,System health check endpoint for monitoring,/api/health,Program.MapGet,File_Scan,,Program.cs,85,MapGet,None,None,Public,System,.NET 6,,Active,,Health check endpoint
repo-endpoint-00012,Minimal API,POST,/api/orders,Creates new order using minimal API pattern,/api/orders,Program.MapPost,File_Scan,,Program.cs,95,MapPost,order:Order,JWT,Internal,Orders,.NET 6,,Active,,Order creation minimal API
